Dashboard Chart;Chart:Graph:Dashboard:Analytics
Dashboard Chart Notification;Chart:Graph:Dashboard:Analytics
Dashboard Bar;Chart:Graph:Dashboard:Analytics
Dashboard Bar Notification;Chart:Graph:Dashboard:Analytics
Dashboard Circle Chart;Chart:Graph:Dashboard:Analytics
Dashboard Circle Bar;Chart:Graph:Dashboard:Analytics
Dashboard Chart Arrow;Chart:Graph:Dashboard:Analytics
Dashboard Chart Star;Chart:Graph:Dashboard:Analytics
Double Circle;Target
Double Square;Cool Square
Home;House:Building
Home 2;House:Building
Home 3;House:Building
Home 4;House:Building
Home Cross;House:Building
Home Plus;House:Building
Home Check;House:Building:Check:Tick
Home Heart;House:Building:Heart
Home Security Lock;House:Building:Lock:Security
Building A;House:Office
Building B;House:Office
Building Tree;House:Office
Heart;Health:Love:Valentine
Trash;Dustbin:Delete:Recycle Bin:Trash Can
Trash 2;Dustbin:Delete:Recycle Bin:Trash Can
Trash 3;Dustbin:Delete:Recycle Bin:Trash Can
Save Floppy;Save
Credit Card;Payment:Bank:Checkout:Money:Ecommerce
ID Card;Identity Card:Passport
Settings;Gear:Cog
Bolt;Gear:Cog:Settings
Email;Mail:Envelope:Inbox:Letter:Notification
Email Notification;Mail:Envelope:Inbox:Letter:Notification
Email Opened;Mail:Envelope:Inbox:Letter:Notification
Globe;Web:Language:Earth:World
Earth;Web:Globe:World
Shop;House:Building:Store:Ecommerce
Shopping Cart;Shopping:Ecommerce:Trolley:Buy:Checkout:Basket
Shopping Bag;Shopping:Ecommerce:Trolley:Buy:Checkout:Basket
Basket;Shopping:Ecommerce:Buy:Checkout
Bag A;Shopping:Ecommerce:Buy:Checkout:Basket
Bag B;Shopping:Ecommerce:Buy:Checkout:Basket
Briefcase;Bag:Office
Dollar;Money:Payment:US:Price
Money Exchange;Money:Payment:US:Price
Coin A;Money:Dollar:Price
Coin B;Money:Dollary:Price
Verified Check;Check Mark:Tick:Verify
Ribbon;Award:Guest:Bow
Download;Arrow:Arrow Down:Transfer:Save:Import
Upload;Arrow:Arrow Up:Transfer:Send:Export
Logout;Arrow:Arrow Right:Sign Out:Signout:Log Out
Login;Arrow:Arrow Right: Sign In:Signin:Log In
Notification Bell;Alarm:Reminder:Bell:Notification
Notification Bell Pending;Alarm:Reminder:Bell:Notification
Notification Bell Muted;Alarm:Reminder:Mute:Snooze:Bell:Notification
Notification Bell Snooze;Alarm:Reminder:Mute:Snooze:Bell:Notification
Notification Bell Snooze 2;Alarm:Reminder:Mute:Snooze:Bell:Notification
Notification Bell Plus;Alarm:Reminder:Bell:Notification:Plus:Add
Notification Bell Minus;Alarm:Reminder:Bell:Notification:Minus:Subtract:Dash
Notification Bell Download;Alarm:Reminder:Bell:Notification:Download
Notification Bell Upload;Alarm:Reminder:Bell:Notification:Upload
Notification Bell Check;Alarm:Reminder:Bell:Notification:Check:Tick
Notification Bell Cross;Alarm:Reminder:Bell:Notification:Cross:Close:X
Notification Bell Question Mark;Alarm:Reminder:Bell:Notification:Question Mark
Box 3D;Box:3D
Box 3D Plus;Box:3D
Box 3D Minus;Box:3D
